classid,moodleclass
2022AT3E!$582!$M!$BEGINNER/M!$BP-2,IEAP-BG-2022AT3E
2022AT3E!$582!$M!$BEGINNER/M!$RE-FOUND,IEAP-BW-2022AT3E
2022AT3E!$582!$M!$IEAP-1M!$IEAP-1-WR,IEAP-1W-2022AT3E
2022AT3E!$582!$M!$IEAP-1M!$INTER-1,IEAP-1G-2022AT3E
2022AT3E!$582!$M!$IEAP-3M!$IEAP-3-WR,IEAP-3W-2022AT3E
2022AT3E!$582!$M!$IEAP-3M!$INTER-3,IEAP-3G-2022AT3E
2022AT3E!$632!$E!$PRE-B2/A!$PRE-B2-INTRO,GESL-PB2-STEP-2022AT3E
2022AT3E!$632!$E!$PRE-B2/A!$PRE-B2-SMART,GESL-PB2-SMART-2022AT3E
2022AT3E!$632!$E!$PRE-B2/B!$PRE-B2-INTRO,GESL-PB2-STEP-2022AT3E
2022AT3E!$632!$E!$PRE-B2/B!$PRE-B2-SMART,GESL-PB2-SMART-2022AT3E
2022AT3E!$688!$E!$EHSS-10!$EW-1,EHSS-10-W-2022AT3E
2022AT3E!$688!$E!$EHSS-10!$RE-03,EHSS-10-R-2022AT3E
2022AT3E!$688!$E!$EHSS-12!$EW-3,EHSS-12-W-2022AT3E
2022AT3E!$688!$E!$EHSS-12!$RE-04,EHSS-11-R-2022AT3E
2022AT3E!$688!$E!$EHSS-1A!$PRO-1A,EHSS-01-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-1A!$V-1A,EHSS-01-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-1B!$PRO-1A,EHSS-01-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-1B!$V-1A,EHSS-01-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-1C!$PRO-1A,EHSS-01-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-1C!$V-1A,EHSS-01-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-2A!$PRO-1B,EHSS-02-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-2A!$V-1B,EHSS-02-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-2B!$PRO-1B,EHSS-02-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-2B!$V-1B,EHSS-02-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-2C!$PRO-1B,EHSS-02-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-2C!$V-1B,EHSS-02-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-3A!$PRO-2A,EHSS-03-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-3A!$V-2A,EHSS-03-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-3B!$PRO-2A,EHSS-03-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-3B!$V-2A,EHSS-03-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-3C!$PRO-2A,EHSS-03-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-3C!$V-2A,EHSS-03-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-3D!$PRO-2A,EHSS-03-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-3D!$V-2A,EHSS-03-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-4A!$PRO-2B,EHSS-04-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-4A!$V-2B,EHSS-04-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-4B!$PRO-2B,EHSS-04-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-4B!$V-2B,EHSS-04-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-5A!$PRO-3A,EHSS-05-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-5A!$V-3A,EHSS-05-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-5B!$PRO-3A,EHSS-05-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-5B!$V-3A,EHSS-05-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-6A!$PRO-3B,EHSS-06-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-6A!$V-3B,EHSS-06-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-6B!$PRO-3B,EHSS-06-PRO-2022AT3E
2022AT3E!$688!$E!$EHSS-6B!$V-3B,EHSS-06-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-7A!$HCOMP-7,EHSS-07-COMP-2022AT3E
2022AT3E!$688!$E!$EHSS-7A!$RE-02,EHSS-07-R-2022AT3E
2022AT3E!$688!$E!$EHSS-7A!$V-4A,EHSS-07-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-7B!$HCOMP-7,EHSS-07-COMP-2022AT3E
2022AT3E!$688!$E!$EHSS-7B!$RE-02,EHSS-07-R-2022AT3E
2022AT3E!$688!$E!$EHSS-7B!$V-4A,EHSS-07-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-8!$HCOMP-8,EHSS-08-COMP-2022AT3E
2022AT3E!$688!$E!$EHSS-8!$RE-02,EHSS-08-R-2022AT3E
2022AT3E!$688!$E!$EHSS-8!$V-4B,EHSS-08-VEN-2022AT3E
2022AT3E!$688!$E!$EHSS-9!$HCOMP-9,EHSS-09-COMP-2022AT3E
2022AT3E!$688!$E!$EHSS-9!$RE-03,EHSS-09-R-2022AT3E
2022AT3E!$688!$E!$EHSS-9!$VT-1,EHSS-09-VEN-2022AT3E
2022T1E!$582!$E!$BEGINNER/E!$BP-2,IEAP-BG-2022T1E
2022T1E!$582!$E!$BEGINNER/E!$RE-FOUND,IEAP-BW-2022T1E
